dataset,n_layer,n_head,d_head,d_embed,d_model,d_inner,dropout,dropatt,init,emb_init,init_range,emb_init_range,init_std,proj_init_std,optim,lr,mom,scheduler,warmup_step,decay_rate,lr_min,clip,clip_nonemb,max_step,batch_size,batch_chunk,tgt_len,eval_tgt_len,ext_len,mem_len,num_mem_tokens,not_tied,seed,cuda,adaptive,div_val,pre_lnorm,varlen,multi_gpu,log_interval,eval_interval,restart,restart_dir,debug,same_length,attn_type,clamp_len,eta_min,gpu0_bsz,max_eval_steps,max_test_steps,sample_softmax,patience,finetune_v2,finetune_v3,fp16,static_loss_scale,dynamic_loss_scale,device_ids,mem_backprop_depth,bptt_bp,mem_at_end,read_mem_from_cache,answer_size,tied,ntokens,n_all_param,n_nonemb_param,test acc,mem_size,seq_len,n_chunks
copy120,4,4,64,128,128,256,0.1,0,normal,normal,0.1,0.01,0.02,0.01,adam,0.0001,0,dev_perf,0,0.5,0.00001,0.25,False,200000,256,1,60,60,0,30,0,False,2211,True,False,1,False,False,True,8000,40000,False,,False,False,0,-1,0,-1,50,-1,-1,5,False,False,False,1,False,[6],0,False,True,True,240,True,10,922890,921088,0.124,30,120,6
copy120,4,4,64,128,128,256,0.1,0,normal,normal,0.1,0.01,0.02,0.01,adam,0.0001,0,dev_perf,0,0.5,0.00001,0.25,False,200000,256,1,60,60,0,30,0,False,2212,True,False,1,False,False,True,8000,40000,False,,False,False,0,-1,0,-1,50,-1,-1,5,False,False,False,1,False,[6],0,False,True,True,240,True,10,922890,921088,0.126,30,120,6
copy120,4,4,64,128,128,256,0.1,0,normal,normal,0.1,0.01,0.02,0.01,adam,0.0001,0,dev_perf,0,0.5,0.00001,0.25,False,600000,128,1,40,40,0,40,0,False,7111,True,False,1,False,False,True,8000,80000,False,,False,False,0,-1,0,-1,20,30,-1,5,False,False,False,1,False,[5],0,False,True,True,240,True,10,922890,921088,0.159,40,120,9
copy120,4,4,64,128,128,256,0.1,0,normal,normal,0.1,0.01,0.02,0.01,adam,0.0001,0,dev_perf,0,0.5,0.00001,0.25,False,600000,128,1,40,40,0,40,0,False,1111,True,False,1,False,False,True,8000,80000,False,,False,False,0,-1,0,-1,20,30,-1,5,False,False,False,1,False,[2],0,False,True,True,240,True,10,922890,921088,0.124,40,120,9
copy120,4,4,64,128,128,256,0.1,0,normal,normal,0.1,0.01,0.02,0.01,adam,0.0001,0,dev_perf,0,0.5,0.00001,0.25,False,600000,128,1,40,40,0,40,0,False,4111,True,False,1,False,False,True,8000,80000,False,,False,False,0,-1,0,-1,20,30,-1,5,False,False,False,1,False,[2],0,False,True,True,240,True,10,922890,921088,0.125,40,120,9
copy120,4,4,64,128,128,256,0.1,0,normal,normal,0.1,0.01,0.02,0.01,adam,0.0001,0,dev_perf,0,0.5,0.00001,0.25,False,200000,128,1,120,120,0,0,60,False,1111,True,False,1,False,False,True,8000,40000,False,,False,False,0,-1,0,-1,50,-1,-1,5,False,False,False,1,False,[7],0,False,True,True,240,True,10,930570,921088,1,60,120,3
copy120,4,4,64,128,128,256,0.1,0,normal,normal,0.1,0.01,0.02,0.01,adam,0.0001,0,dev_perf,0,0.5,0.00001,0.25,False,400000,128,1,60,60,0,0,30,False,1111,True,False,1,False,False,True,8000,40000,False,,False,False,0,-1,0,-1,50,-1,-1,5,False,False,False,1,False,[5],0,False,True,True,240,True,10,926730,921088,1,30,120,6
copy120,4,4,64,128,128,256,0.1,0,normal,normal,0.1,0.01,0.02,0.01,adam,0.0001,0,dev_perf,0,0.5,0.00001,0.25,False,100000,256,1,120,120,0,60,0,False,1111,True,False,1,False,False,True,8000,40000,False,,False,False,0,-1,0,-1,50,-1,-1,5,False,False,False,1,False,[4],0,False,True,True,240,True,10,922890,921088,0.889,60,120,3
copy120,4,4,64,128,128,256,0.1,0,normal,normal,0.1,0.01,0.02,0.01,adam,0.0001,0,dev_perf,0,0.5,0.00001,0.25,False,100000,256,1,120,120,0,60,0,False,1412,True,False,1,False,False,True,8000,40000,False,,False,False,0,-1,0,-1,15,30,-1,5,False,False,False,1,False,[4],0,False,True,True,240,True,10,922890,921088,0.668,60,120,3
copy120,4,4,64,128,128,256,0.1,0,normal,normal,0.1,0.01,0.02,0.01,adam,0.0001,0,dev_perf,0,0.5,0.00001,0.25,False,600000,128,1,40,40,0,0,40,False,1311,True,False,1,False,False,True,8000,80000,False,,False,False,0,-1,0,-1,20,30,-1,5,False,False,False,1,False,[3],0,False,True,True,240,True,10,928010,921088,1,40,120,9
copy120,4,4,64,128,128,256,0.1,0,normal,normal,0.1,0.01,0.02,0.01,adam,0.0001,0,dev_perf,0,0.5,0.00001,0.25,False,600000,128,1,40,40,0,0,40,False,1111,True,False,1,False,False,True,8000,80000,False,,False,False,0,-1,0,-1,20,30,-1,5,False,False,False,1,False,[3],0,False,True,True,240,True,10,928010,921088,1,40,120,9
copy120,6,4,64,128,128,256,0.1,0,normal,normal,0.1,0.01,0.02,0.01,adam,0.0001,0,dev_perf,0,0.5,0.000001,0.25,False,600000,32,1,360,360,0,0,0,False,1311,True,False,1,False,False,True,4000,80000,False,,False,False,0,-1,0,-1,20,30,-1,8,False,False,False,1,False,"[0, 4]",0,False,True,True,240,True,10,1388554,1381632,1,0,120,1
copy120,6,4,64,128,128,256,0.1,0,normal,normal,0.1,0.01,0.02,0.01,adam,0.0001,0,dev_perf,0,0.5,0.000001,0.25,False,600000,32,1,360,360,0,0,0,False,3311,True,False,1,False,False,True,4000,80000,False,,False,False,0,-1,0,-1,20,30,-1,8,False,False,False,1,False,"[0, 4]",0,False,True,True,240,True,10,1388554,1381632,1,0,120,1
copy120,4,4,64,128,128,256,0.1,0,normal,normal,0.1,0.01,0.02,0.01,adam,0.0001,0,dev_perf,0,0.5,0.00001,0.25,False,200000,128,1,120,120,0,0,0,False,1111,True,False,1,False,False,True,8000,40000,False,,False,False,0,-1,0,-1,3,10,-1,5,False,False,False,1,False,[7],0,False,True,True,240,True,10,922890,921088,0.127,0,120,3
copy120,4,4,64,128,128,256,0.1,0,normal,normal,0.1,0.01,0.02,0.01,adam,0.0001,0,dev_perf,0,0.5,0.00001,0.25,False,200000,128,1,120,120,0,0,0,False,1112,True,False,1,False,False,True,8000,40000,False,,False,False,0,-1,0,-1,3,10,-1,5,False,False,False,1,False,[7],0,False,True,True,240,True,10,922890,921088,0.123,0,120,3
copy120,4,4,64,128,128,256,0.1,0,normal,normal,0.1,0.01,0.02,0.01,adam,0.0001,0,dev_perf,0,0.5,0.00001,0.25,False,200000,128,1,60,60,0,0,0,False,1111,True,False,1,False,False,True,8000,40000,False,,False,False,0,-1,0,-1,3,10,-1,5,False,False,False,1,False,[3],0,False,True,True,240,True,10,922890,921088,0.123,0,120,6
copy120,4,4,64,128,128,256,0.1,0,normal,normal,0.1,0.01,0.02,0.01,adam,0.0001,0,dev_perf,0,0.5,0.00001,0.25,False,200000,128,1,60,60,0,0,0,False,1112,True,False,1,False,False,True,8000,40000,False,,False,False,0,-1,0,-1,3,10,-1,5,False,False,False,1,False,[3],0,False,True,True,240,True,10,922890,921088,0.123,0,120,6
copy120,4,4,64,128,128,256,0.1,0,normal,normal,0.1,0.01,0.02,0.01,adam,0.0001,0,dev_perf,0,0.5,0.00001,0.25,False,600000,128,1,40,40,0,0,0,False,1111,True,False,1,False,False,True,8000,40000,False,,False,False,0,-1,0,-1,3,10,-1,5,False,False,False,1,False,[3],0,False,True,True,240,True,10,922890,921088,0.126,0,120,9
reverse120,4,4,64,128,128,256,0.1,0,normal,normal,0.1,0.01,0.02,0.01,adam,0.0001,0,dev_perf,0,0.5,0.00001,0.25,False,500000,128,1,120,120,0,0,60,False,1114,True,False,1,False,False,True,8000,40000,False,,False,False,0,-1,0,-1,20,50,-1,5,False,False,False,1,False,[3],0,False,True,True,120,True,10,930570,921088,1,60,120,2
reverse120,4,4,64,128,128,256,0.1,0,normal,normal,0.1,0.01,0.02,0.01,adam,0.0001,0,dev_perf,0,0.5,0.00001,0.25,False,300000,128,1,120,120,0,0,60,False,1111,True,False,1,False,False,True,8000,40000,False,,False,False,0,-1,0,-1,20,50,-1,5,False,False,False,1,False,[6],0,False,True,True,120,True,10,930570,921088,0.942,60,120,2
reverse120,4,4,64,128,128,256,0.1,0,normal,normal,0.1,0.01,0.02,0.01,adam,0.0001,0,dev_perf,0,0.5,0.00001,0.25,False,500000,128,1,120,120,0,0,60,False,1111,True,False,1,False,False,True,8000,80000,False,,False,False,0,-1,0,-1,5,10,-1,5,False,False,False,1,False,[6],0,False,True,True,120,True,10,930570,921088,0.934,60,120,2
reverse120,4,4,64,128,128,256,0.1,0,normal,normal,0.1,0.01,0.02,0.01,adam,0.0001,0,dev_perf,0,0.5,0.00001,0.25,False,500000,128,1,60,60,0,0,60,False,1111,True,False,1,False,False,True,8000,40000,False,,False,False,0,-1,0,-1,20,50,-1,5,False,False,False,1,False,[7],0,False,True,True,120,True,10,930570,921088,1,60,120,4
reverse120,4,4,64,128,128,256,0.1,0,normal,normal,0.1,0.01,0.02,0.01,adam,0.0001,0,dev_perf,0,0.5,0.00001,0.25,False,500000,128,1,60,60,0,0,60,False,1112,True,False,1,False,False,True,8000,40000,False,,False,False,0,-1,0,-1,20,50,-1,5,False,False,False,1,False,[7],0,False,True,True,120,True,10,930570,921088,0.994,60,120,4
reverse120,4,4,64,128,128,256,0.1,0,normal,normal,0.1,0.01,0.02,0.01,adam,0.0001,0,dev_perf,0,0.5,0.00001,0.25,False,500000,128,1,60,60,0,60,0,False,1111,True,False,1,False,False,True,8000,40000,False,,False,False,0,-1,0,-1,20,50,-1,5,False,False,False,1,False,[6],0,False,True,True,120,True,10,922890,921088,0.607,60,120,4
reverse120,4,4,64,128,128,256,0.1,0,normal,normal,0.1,0.01,0.02,0.01,adam,0.0001,0,dev_perf,0,0.5,0.00001,0.25,False,500000,128,1,40,40,0,60,0,False,1112,True,False,1,False,False,True,8000,40000,False,,False,False,0,-1,0,-1,20,50,-1,5,False,False,False,1,False,[4],0,False,True,True,120,True,10,922890,921088,0.669,60,120,6
reverse120,4,4,64,128,128,256,0.1,0,normal,normal,0.1,0.01,0.02,0.01,adam,0.0001,0,dev_perf,0,0.5,0.00001,0.25,False,500000,128,1,40,40,0,60,0,False,1111,True,False,1,False,False,True,8000,40000,False,,False,False,0,-1,0,-1,20,50,-1,5,False,False,False,1,False,[4],0,False,True,True,120,True,10,922890,921088,0.666,60,120,6
reverse120,4,4,64,128,128,256,0.1,0,normal,normal,0.1,0.01,0.02,0.01,adam,0.0001,0,dev_perf,0,0.5,0.00001,0.25,False,300000,128,1,120,120,0,60,0,False,1111,True,False,1,False,False,True,8000,40000,False,,False,False,0,-1,0,-1,20,50,-1,5,False,False,False,1,False,[4],0,False,True,True,120,True,10,922890,921088,0.89,60,120,2
reverse120,4,4,64,128,128,256,0.1,0,normal,normal,0.1,0.01,0.02,0.01,adam,0.0001,0,dev_perf,0,0.5,0.00001,0.25,False,300000,128,1,120,120,0,60,0,False,1113,True,False,1,False,False,True,8000,40000,False,,False,False,0,-1,0,-1,20,50,-1,5,False,False,False,1,False,[3],0,False,True,True,120,True,10,922890,921088,0.903,60,120,2
reverse120,4,4,64,128,128,256,0.1,0,normal,normal,0.1,0.01,0.02,0.01,adam,0.0001,0,dev_perf,0,0.5,0.00001,0.25,False,300000,128,1,120,120,0,60,0,False,1112,True,False,1,False,False,True,8000,40000,False,,False,False,0,-1,0,-1,20,50,-1,5,False,False,False,1,False,[3],0,False,True,True,120,True,10,922890,921088,0.88,60,120,2
reverse120,4,4,64,128,128,256,0.1,0,normal,normal,0.1,0.01,0.02,0.01,adam,0.0001,0,dev_perf,0,0.5,0.00001,0.25,False,100000,128,1,240,240,0,0,0,False,1112,True,False,1,False,False,True,8000,40000,False,,False,False,0,-1,0,-1,20,50,-1,5,False,False,False,1,False,[4],0,False,True,True,120,True,10,922890,921088,1,0,120,1
reverse120,4,4,64,128,128,256,0.1,0,normal,normal,0.1,0.01,0.02,0.01,adam,0.0001,0,dev_perf,0,0.5,0.00001,0.25,False,100000,128,1,240,240,0,0,0,False,1111,True,False,1,False,False,True,8000,40000,False,,False,False,0,-1,0,-1,20,50,-1,5,False,False,False,1,False,[7],0,False,True,True,120,True,10,922890,921088,1,0,120,1
reverse120,4,4,64,128,128,256,0.1,0,normal,normal,0.1,0.01,0.02,0.01,adam,0.0001,0,dev_perf,0,0.5,0.00001,0.25,False,300000,128,1,120,120,0,60,0,False,1111,True,False,1,False,False,True,8000,40000,False,,False,False,0,-1,0,-1,20,50,-1,5,False,False,False,1,False,[5],0,False,True,True,120,True,10,922890,921088,0.872,60,120,2
reverse120,4,4,64,128,128,256,0.1,0,normal,normal,0.1,0.01,0.02,0.01,adam,0.0001,0,dev_perf,0,0.5,0.00001,0.25,False,500000,128,1,60,60,0,60,0,False,1122,True,False,1,False,False,True,8000,40000,False,,False,False,0,-1,0,-1,3,10,-1,5,False,False,False,1,False,[0],0,False,True,True,120,True,10,922890,921088,0.621,60,120,4
reverse120,4,4,64,128,128,256,0.1,0,normal,normal,0.1,0.01,0.02,0.01,adam,0.0001,0,dev_perf,0,0.5,0.00001,0.25,False,500000,128,1,120,120,0,60,0,False,1112,True,False,1,False,False,True,8000,40000,False,,False,False,0,-1,0,-1,3,10,-1,5,False,False,False,1,False,[2],0,False,True,True,120,True,10,922890,921088,0.742,60,120,2
reverse120,4,4,64,128,128,256,0.1,0,normal,normal,0.1,0.01,0.02,0.01,adam,0.0001,0,dev_perf,0,0.5,0.00001,0.25,False,500000,128,1,120,120,0,60,0,False,1111,True,False,1,False,False,True,8000,40000,False,,False,False,0,-1,0,-1,3,10,-1,5,False,False,False,1,False,[1],0,False,True,True,120,True,10,922890,921088,0.88,60,120,2
reverse120,4,4,64,128,128,256,0.1,0,normal,normal,0.1,0.01,0.02,0.01,adam,0.0001,0,dev_perf,0,0.5,0.00001,0.25,False,1000000,128,1,40,40,0,40,0,False,1111,True,False,1,False,False,True,8000,40000,False,,False,False,0,-1,0,-1,3,10,-1,5,False,False,False,1,False,[3],0,False,True,True,120,True,10,922890,921088,0.439,40,120,6
reverse120,4,4,64,128,128,256,0.1,0,normal,normal,0.1,0.01,0.02,0.01,adam,0.0001,0,dev_perf,0,0.5,0.00001,0.25,False,1000000,128,1,40,40,0,40,0,False,1112,True,False,1,False,False,True,8000,40000,False,,False,False,0,-1,0,-1,3,10,-1,5,False,False,False,1,False,[2],0,False,True,True,120,True,10,922890,921088,0.485,40,120,6
reverse120,4,4,64,128,128,256,0.1,0,normal,normal,0.1,0.01,0.02,0.01,adam,0.0001,0,dev_perf,0,0.5,0.00001,0.25,False,1000000,128,1,40,40,0,0,60,False,1114,True,False,1,False,False,True,8000,40000,False,,False,False,0,-1,0,-1,3,,-1,5,False,False,False,1,False,[2],0,False,True,True,120,True,10,930570,921088,1,60,120,6
copy120,4,4,64,128,128,256,0.1,0,normal,normal,0.1,0.01,0.02,0.01,adam,0.0001,0,dev_perf,0,0.5,0.00001,0.25,False,200000,128,1,120,120,0,0,60,False,1111,True,False,1,False,False,True,8000,40000,False,,False,False,0,-1,0,-1,50,-1,-1,5,False,False,False,1,False,[7],0,False,True,True,240,True,10,930570,921088,1,60,120,3
