dataset,eval_tgt_len,tgt_len,mem_backprop_depth,mem_len,num_mem_tokens,mem_at_end,test ppl,test bpc
wt103,50,50,0.0,1,0,False,32.371,
wt103,50,50,0.0,1,0,False,32.33,
wt103,50,50,0.0,5,0,False,30.015,
wt103,50,50,0.0,5,0,False,30.111,
wt103,150,150,0.0,0,25,True,29.732,
wt103,50,50,0.0,0,10,True,30.686999999999998,
wt103,50,50,3.0,0,1,True,28.374000000000002,
wt103,50,50,3.0,0,1,True,28.418000000000003,
enwik8,128,128,1.0,0,5,True,,1.2393
enwik8,128,128,1.0,0,5,True,,1.24254
wt103,50,50,2.0,0,1,True,28.438000000000002,
enwik8,128,512,0.0,0,256,False,,1.3371899999999999
wt103,50,50,2.0,0,5,True,26.959,
wt103,50,50,2.0,0,5,True,26.706999999999997,
enwik8,128,128,0.0,10,20,True,,1.30271
wt103,50,50,1.0,0,1,True,28.73,
wt103,50,50,1.0,0,1,True,28.693,
wt103,50,50,3.0,0,10,True,26.384,
wt103,50,50,3.0,0,10,True,26.366,
enwik8,128,512,0.0,512,0,False,,1.07134
wt103,150,150,0.0,0,0,False,29.941,
wt103,150,150,0.0,0,0,False,29.81,
wt103,150,150,0.0,0,0,False,30.11,
wt103,50,50,1.0,0,50,True,26.03,
wt103,150,150,0.0,0,150,True,27.304000000000002,
enwik8,128,128,0.0,20,0,False,,1.26105
wt103,150,150,0.0,0,75,False,26.570999999999998,
wt103,150,150,0.0,0,75,True,27.043000000000003,
enwik8,128,128,0.0,200,0,False,,1.1396700000000002
wt103,50,50,4.0,0,10,True,26.238000000000003,
wt103,50,50,4.0,0,10,True,26.456,
wt103,50,50,4.0,0,10,True,26.070999999999998,
wt103,150,150,0.0,0,150,True,26.371,
wt103,150,150,0.0,0,150,False,26.866999999999997,
wt103,50,50,3.0,0,5,True,26.934,
wt103,50,50,3.0,0,5,True,26.565,
wt103,150,150,0.0,75,0,False,24.671,
wt103,150,150,0.0,75,0,False,24.67,
wt103,150,150,0.0,75,0,False,24.693,
wt103,50,50,1.0,0,5,True,27.191,
wt103,50,50,1.0,0,5,True,26.904,
enwik8,128,128,0.0,75,0,False,,1.19636
wt103,50,50,0.0,50,0,True,26.535,
wt103,50,50,0.0,50,0,False,26.55,
enwik8,128,128,2.0,0,5,True,,1.2327700000000001
enwik8,128,128,2.0,0,5,True,,1.22961
wt103,150,150,3.0,0,10,True,25.12,
wt103,150,150,3.0,0,10,True,24.99,
wt103,150,150,3.0,0,10,True,25.02,
wt103,50,50,0.0,0,5,True,30.453000000000003,
wt103,50,50,0.0,0,5,True,30.191999999999997,
wt103,50,50,1.0,0,10,True,27.013,
wt103,50,50,1.0,0,10,True,28.884,
wt103,50,50,0.0,0,0,False,39.063,
wt103,50,50,0.0,0,0,False,39.042,
wt103,50,50,2.0,0,25,True,27.308000000000003,
enwik8,128,128,0.0,0,20,True,,1.3013299999999999
wt103,50,50,1.0,0,25,True,26.322,
enwik8,128,512,0.0,0,0,False,,1.39059
enwik8,128,128,1.0,0,20,True,,1.22891
wt103,50,50,0.0,100,0,True,25.659000000000002,
wt103,50,50,0.0,100,0,False,25.654,
enwik8,128,128,1.0,0,10,True,,1.2355
enwik8,128,128,1.0,0,10,True,,1.24452
wt103,150,150,2.0,0,10,True,25.822,
wt103,150,150,2.0,0,10,True,24.646,
wt103,150,150,2.0,0,10,True,25.495,
enwik8,128,128,2.0,0,20,True,,1.2222600000000001
wt103,150,150,0.0,25,0,False,25.584,
wt103,150,150,0.0,25,0,False,25.558000000000003,
enwik8,128,128,0.0,40,0,False,,1.22948
enwik8,128,128,0.0,40,0,False,,1.23065
enwik8,128,128,2.0,0,10,True,,1.22815
enwik8,128,128,2.0,0,10,True,,1.23079
enwik8,128,128,2.0,0,10,True,,1.22394
wt103,150,150,0.0,0,10,True,26.831,
wt103,150,150,0.0,0,10,True,26.866999999999997,
wt103,150,150,1.0,0,10,True,25.113000000000003,
wt103,150,150,1.0,0,10,True,27.45,
wt103,150,150,1.0,0,10,True,25.871,
wt103,150,150,1.0,0,10,True,25.255,
wt103,50,50,0.0,200,0,False,25.136,
enwik8,128,128,0.0,100,0,False,,1.1779600000000001
wt103,50,50,0.0,0,25,True,29.750999999999998,
wt103,150,150,0.0,150,0,False,24.171999999999997,
wt103,150,150,0.0,150,0,False,24.070999999999998,
wt103,150,150,0.0,150,0,False,24.107,
wt103,150,150,1.0,0,25,True,24.912,
wt103,150,150,2.0,0,25,True,24.646,
wt103,150,150,2.0,0,25,True,25.204,
wt103,150,150,2.0,0,25,True,24.698,
wt103,50,50,0.0,0,1,True,30.435,
wt103,50,50,0.0,0,1,True,32.217,
enwik8,128,128,0.0,10,0,False,,1.2844
enwik8,128,128,0.0,10,0,False,,1.2823
wt103,50,50,4.0,0,5,True,26.662,
wt103,50,50,4.0,0,5,True,26.654,
wt103,50,50,4.0,0,5,True,26.704,
wt103,150,150,0.0,0,150,False,29.62,
wt103,50,50,0.0,10,0,False,28.903000000000002,
wt103,50,50,0.0,10,0,False,29.06,
enwik8,128,128,0.0,0,0,False,,1.40393
enwik8,128,128,0.0,0,0,False,,1.40069
wt103,50,50,2.0,0,10,True,26.862,
wt103,50,50,2.0,0,10,True,26.38,
wt103,50,50,0.0,0,50,True,29.748,
wt103,50,50,0.0,25,0,False,27.506999999999998,
wt103,50,50,0.0,25,0,False,27.631,
