dataset,n_layer,n_head,d_head,d_embed,d_model,d_inner,dropout,dropatt,init,emb_init,init_range,emb_init_range,init_std,proj_init_std,optim,lr,mom,scheduler,warmup_step,decay_rate,lr_min,clip,clip_nonemb,max_step,batch_size,batch_chunk,tgt_len,eval_tgt_len,ext_len,mem_len,num_mem_tokens,not_tied,seed,cuda,adaptive,div_val,pre_lnorm,varlen,multi_gpu,log_interval,eval_interval,restart,restart_dir,debug,same_length,attn_type,clamp_len,eta_min,gpu0_bsz,max_eval_steps,sample_softmax,patience,finetune_v2,finetune_v3,fp16,static_loss_scale,dynamic_loss_scale,device_ids,mem_backprop_depth,bptt_bp,mem_at_end,read_mem_from_cache,answer_size,tied,ntokens,n_all_param,n_nonemb_param,test acc,mem_size,n_chunks
copy,4,4,64,128,128,256,0.1,0,normal,normal,0.1,0.01,0.02,0.01,adam,0.0001,0,dev_perf,0,0.5,0.000001,0.25,False,400000,32,1,72,72,0,0,0,False,2049,True,False,1,False,False,True,1000,12000,False,,False,False,0,-1,0,-1,50,-1,8,False,False,False,1,False,[3],0,False,True,True,48,True,12,923148,921088,1,0,1
copy,4,4,64,128,128,256,0.1,0,normal,normal,0.1,0.01,0.02,0.01,adam,0.0001,0,dev_perf,0,0.5,0.000001,0.25,False,400000,32,1,72,72,0,0,0,False,1234,True,False,1,False,False,True,1000,12000,False,,False,False,0,-1,0,-1,50,-1,8,False,False,False,1,False,[3],0,False,True,True,48,True,12,923148,921088,1,0,1
copy,4,4,64,128,128,256,0.1,0,normal,normal,0.1,0.01,0.02,0.01,adam,0.0001,0,dev_perf,0,0.5,0.000001,0.25,False,400000,32,1,72,72,0,0,0,False,2022,True,False,1,False,False,True,1000,12000,False,,False,False,0,-1,0,-1,50,-1,8,False,False,False,1,False,[3],0,False,True,True,48,True,12,923148,921088,1,0,1
copy,4,4,64,128,128,256,0.1,0,normal,normal,0.1,0.01,0.02,0.01,adam,0.0001,0,dev_perf,0,0.5,0.000001,0.25,False,900000,32,1,12,12,0,0,12,False,1234,True,False,1,False,False,True,1000,12000,False,,False,False,0,-1,0,-1,50,-1,8,False,False,False,1,False,[6],0,False,True,True,48,True,12,924684,921088,1,12,6
copy,4,4,64,128,128,256,0.1,0,normal,normal,0.1,0.01,0.02,0.01,adam,0.0001,0,dev_perf,0,0.5,0.000001,0.25,False,900000,32,1,12,12,0,0,12,False,2022,True,False,1,False,False,True,1000,12000,False,,False,False,0,-1,0,-1,50,-1,8,False,False,False,1,False,[6],0,False,True,True,48,True,12,924684,921088,1,12,6
copy,4,4,64,128,128,256,0.1,0,normal,normal,0.1,0.01,0.02,0.01,adam,0.0001,0,dev_perf,0,0.5,0.000001,0.25,False,700000,32,1,12,12,0,6,0,False,6022,True,False,1,False,False,True,1000,12000,False,,False,False,0,-1,0,-1,50,-1,8,False,False,False,1,False,[5],0,False,True,True,48,True,12,923148,921088,0.657,6,6
copy,4,4,64,128,128,256,0.1,0,normal,normal,0.1,0.01,0.02,0.01,adam,0.0001,0,dev_perf,0,0.5,0.000001,0.25,False,700000,32,1,12,12,0,6,0,False,6234,True,False,1,False,False,True,1000,12000,False,,False,False,0,-1,0,-1,50,-1,8,False,False,False,1,False,[5],0,False,True,True,48,True,12,923148,921088,0.298,6,6
copy,4,4,64,128,128,256,0.1,0,normal,normal,0.1,0.01,0.02,0.01,adam,0.0001,0,dev_perf,0,0.5,0.000001,0.25,False,700000,32,1,12,12,0,6,0,False,4022,True,False,1,False,False,True,1000,12000,False,,False,False,0,-1,0,-1,50,-1,8,False,False,False,1,False,[2],0,False,True,True,48,True,12,923148,921088,0.355,6,6
copy,4,4,64,128,128,256,0.1,0,normal,normal,0.1,0.01,0.02,0.01,adam,0.0001,0,dev_perf,0,0.5,0.000001,0.25,False,700000,32,1,12,12,0,6,0,False,4234,True,False,1,False,False,True,1000,12000,False,,False,False,0,-1,0,-1,50,-1,8,False,False,False,1,False,[2],0,False,True,True,48,True,12,923148,921088,0.856,6,6
copy,4,4,64,128,128,256,0.1,0,normal,normal,0.1,0.01,0.02,0.01,adam,0.0001,0,dev_perf,0,0.5,0.000001,0.25,False,400000,32,1,24,24,0,0,24,False,1234,True,False,1,False,False,True,1000,12000,False,,False,False,0,-1,0,-1,50,-1,8,False,False,False,1,False,[2],0,False,True,True,48,True,12,926220,921088,1,24,3
copy,4,4,64,128,128,256,0.1,0,normal,normal,0.1,0.01,0.02,0.01,adam,0.0001,0,dev_perf,0,0.5,0.000001,0.25,False,400000,32,1,24,24,0,0,24,False,2049,True,False,1,False,False,True,1000,12000,False,,False,False,0,-1,0,-1,50,-1,8,False,False,False,1,False,[2],0,False,True,True,48,True,12,926220,921088,1,24,3
copy,4,4,64,128,128,256,0.1,0,normal,normal,0.1,0.01,0.02,0.01,adam,0.0001,0,dev_perf,0,0.5,0.000001,0.25,False,400000,32,1,24,24,0,0,24,False,2022,True,False,1,False,False,True,1000,12000,False,,False,False,0,-1,0,-1,50,-1,8,False,False,False,1,False,[2],0,False,True,True,48,True,12,926220,921088,1,24,3
copy,4,4,64,128,128,256,0.1,0,normal,normal,0.1,0.01,0.02,0.01,adam,0.0001,0,dev_perf,0,0.5,0.000001,0.25,False,900000,32,1,12,12,0,12,0,False,2022,True,False,1,False,False,True,1000,12000,False,,False,False,0,-1,0,-1,50,-1,8,False,False,False,1,False,[4],0,False,True,True,48,True,12,923148,921088,0.998,12,6
copy,4,4,64,128,128,256,0.1,0,normal,normal,0.1,0.01,0.02,0.01,adam,0.0001,0,dev_perf,0,0.5,0.000001,0.25,False,700000,32,1,12,12,0,0,6,False,9123,True,False,1,False,False,True,1000,12000,False,,False,False,0,-1,0,-1,50,-1,8,False,False,False,1,False,[3],0,False,True,True,48,True,12,923916,921088,1,6,6
copy,4,4,64,128,128,256,0.1,0,normal,normal,0.1,0.01,0.02,0.01,adam,0.0001,0,dev_perf,0,0.5,0.000001,0.25,False,700000,32,1,12,12,0,0,6,False,4234,True,False,1,False,False,True,1000,12000,False,,False,False,0,-1,0,-1,50,-1,8,False,False,False,1,False,[2],0,False,True,True,48,True,12,923916,921088,1,6,6
copy,4,4,64,128,128,256,0.1,0,normal,normal,0.1,0.01,0.02,0.01,adam,0.0001,0,dev_perf,0,0.5,0.000001,0.25,False,700000,32,1,12,12,0,0,6,False,1234,True,False,1,False,False,True,1000,12000,False,,False,False,0,-1,0,-1,50,-1,8,False,False,False,1,False,[3],0,False,True,True,48,True,12,923916,921088,1,6,6
copy,4,4,64,128,128,256,0.1,0,normal,normal,0.1,0.01,0.02,0.01,adam,0.0001,0,dev_perf,0,0.5,0.000001,0.25,False,700000,32,1,12,12,0,0,6,False,4022,True,False,1,False,False,True,1000,12000,False,,False,False,0,-1,0,-1,50,-1,8,False,False,False,1,False,[2],0,False,True,True,48,True,12,923916,921088,1,6,6
copy,4,4,64,128,128,256,0.1,0,normal,normal,0.1,0.01,0.02,0.01,adam,0.0001,0,dev_perf,0,0.5,0.000001,0.25,False,900000,32,1,8,8,0,0,8,False,5212,True,False,1,False,False,True,1000,12000,False,,False,False,0,-1,0,-1,50,-1,8,False,False,False,1,False,[4],0,False,True,True,48,True,12,924172,921088,1,8,9
copy,4,4,64,128,128,256,0.1,0,normal,normal,0.1,0.01,0.02,0.01,adam,0.0001,0,dev_perf,0,0.5,0.000001,0.25,False,900000,32,1,8,8,0,0,8,False,3022,True,False,1,False,False,True,1000,12000,False,,False,False,0,-1,0,-1,50,-1,8,False,False,False,1,False,[5],0,False,True,True,48,True,12,924172,921088,1,8,9
copy,4,4,64,128,128,256,0.1,0,normal,normal,0.1,0.01,0.02,0.01,adam,0.0001,0,dev_perf,0,0.5,0.000001,0.25,False,400000,32,1,24,24,0,0,0,False,2049,True,False,1,False,False,True,1000,12000,False,,False,False,0,-1,0,-1,50,-1,8,False,False,False,1,False,[1],0,False,True,True,48,True,12,923148,921088,0.12,0,3
copy,4,4,64,128,128,256,0.1,0,normal,normal,0.1,0.01,0.02,0.01,adam,0.0001,0,dev_perf,0,0.5,0.000001,0.25,False,400000,32,1,24,24,0,0,0,False,1234,True,False,1,False,False,True,1000,12000,False,,False,False,0,-1,0,-1,50,-1,8,False,False,False,1,False,[1],0,False,True,True,48,True,12,923148,921088,0.12,0,3
copy,4,4,64,128,128,256,0.1,0,normal,normal,0.1,0.01,0.02,0.01,adam,0.0001,0,dev_perf,0,0.5,0.000001,0.25,False,400000,32,1,24,24,0,0,0,False,2022,True,False,1,False,False,True,1000,12000,False,,False,False,0,-1,0,-1,50,-1,8,False,False,False,1,False,[1],0,False,True,True,48,True,12,923148,921088,0.115,0,3
copy,4,4,64,128,128,256,0.1,0,normal,normal,0.1,0.01,0.02,0.01,adam,0.0001,0,dev_perf,0,0.5,0.000001,0.25,False,900000,32,1,8,8,0,8,0,False,5234,True,False,1,False,False,True,1000,12000,False,,False,False,0,-1,0,-1,50,-1,8,False,False,False,1,False,[3],0,False,True,True,48,True,12,923148,921088,0.189,8,9
copy,4,4,64,128,128,256,0.1,0,normal,normal,0.1,0.01,0.02,0.01,adam,0.0001,0,dev_perf,0,0.5,0.000001,0.25,False,400000,32,1,24,24,0,24,0,False,2022,True,False,1,False,False,True,1000,12000,False,,False,False,0,-1,0,-1,50,-1,8,False,False,False,1,False,[2],0,False,True,True,48,True,12,923148,921088,1,24,3
copy,4,4,64,128,128,256,0.1,0,normal,normal,0.1,0.01,0.02,0.01,adam,0.0001,0,dev_perf,0,0.5,0.000001,0.25,False,400000,32,1,24,24,0,24,0,False,2049,True,False,1,False,False,True,1000,12000,False,,False,False,0,-1,0,-1,50,-1,8,False,False,False,1,False,[2],0,False,True,True,48,True,12,923148,921088,1,24,3
copy,4,4,64,128,128,256,0.1,0,normal,normal,0.1,0.01,0.02,0.01,adam,0.0001,0,dev_perf,0,0.5,0.000001,0.25,False,400000,32,1,24,24,0,24,0,False,1234,True,False,1,False,False,True,1000,12000,False,,False,False,0,-1,0,-1,50,-1,8,False,False,False,1,False,[2],0,False,True,True,48,True,12,923148,921088,0.999,24,3
copy,4,4,64,128,128,256,0.1,0,normal,normal,0.1,0.01,0.02,0.01,adam,0.0001,0,dev_perf,0,0.5,0.000001,0.25,False,900000,32,1,12,12,0,12,0,False,1234,True,False,1,False,False,True,1000,12000,False,,False,False,0,-1,0,-1,50,-1,8,False,False,False,1,False,[4],0,False,True,True,48,True,12,923148,921088,0.904,12,6
copy,4,4,64,128,128,256,0.1,0,normal,normal,0.1,0.01,0.02,0.01,adam,0.0001,0,dev_perf,0,0.5,0.000001,0.25,False,900000,32,1,8,8,0,0,8,False,5022,True,False,1,False,False,True,1000,12000,False,,False,False,0,-1,0,-1,50,-1,8,False,False,False,1,False,[4],0,False,True,True,48,True,12,924172,921088,1,8,9
copy,4,4,64,128,128,256,0.1,0,normal,normal,0.1,0.01,0.02,0.01,adam,0.0001,0,dev_perf,0,0.5,0.000001,0.25,False,900000,32,1,8,8,0,8,0,False,8234,True,False,1,False,False,True,1000,12000,False,,False,False,0,-1,0,-1,50,-1,8,False,False,False,1,False,[3],0,False,True,True,48,True,12,923148,921088,0.451,8,9
copy,4,4,64,128,128,256,0.1,0,normal,normal,0.1,0.01,0.02,0.01,adam,0.0001,0,dev_perf,0,0.5,0.000001,0.25,False,900000,32,1,12,12,0,0,0,False,2022,True,False,1,False,False,True,1000,12000,False,,False,False,0,-1,0,-1,50,-1,8,False,False,False,1,False,[0],0,False,True,True,48,True,12,923148,921088,0.102,0,6
copy,4,4,64,128,128,256,0.1,0,normal,normal,0.1,0.01,0.02,0.01,adam,0.0001,0,dev_perf,0,0.5,0.000001,0.25,False,900000,32,1,12,12,0,0,12,False,2722,True,False,1,False,False,True,1000,12000,False,,False,False,0,-1,0,-1,50,-1,8,False,False,False,1,False,[6],0,False,True,True,48,True,12,924684,921088,1,12,6
copy,4,4,64,128,128,256,0.1,0,normal,normal,0.1,0.01,0.02,0.01,adam,0.0001,0,dev_perf,0,0.5,0.000001,0.25,False,900000,32,1,12,12,0,12,0,False,2722,True,False,1,False,False,True,1000,12000,False,,False,False,0,-1,0,-1,50,-1,8,False,False,False,1,False,[5],0,False,True,True,48,True,12,923148,921088,1,12,6
copy,4,4,64,128,128,256,0.1,0,normal,normal,0.1,0.01,0.02,0.01,adam,0.0001,0,dev_perf,0,0.5,0.000001,0.25,False,900000,32,1,8,8,0,0,8,False,5272,True,False,1,False,False,True,1000,12000,False,,False,False,0,-1,0,-1,50,-1,8,False,False,False,1,False,[3],0,False,True,True,48,True,12,924172,921088,1,8,9
copy,4,4,64,128,128,256,0.1,0,normal,normal,0.1,0.01,0.02,0.01,adam,0.0001,0,dev_perf,0,0.5,0.000001,0.25,False,500000,32,1,24,12,0,0,12,False,1234,True,False,1,False,False,True,1000,12000,False,,False,False,0,-1,0,-1,50,-1,8,False,False,False,1,False,[2],0,False,True,True,48,True,12,924684,921088,1,12,3
